artist_id,artist_name,external_url
6XjgqvaVLUib6lCerbZrYD,Stryv,https://api.spotify.com/v1/artists/6XjgqvaVLUib6lCerbZrYD
26WKgv73kRHD0gEDKD1i8j,Keinemusik,https://api.spotify.com/v1/artists/26WKgv73kRHD0gEDKD1i8j
2yyaNPcdxZcn4iutCcLMaC,Orso,https://api.spotify.com/v1/artists/2yyaNPcdxZcn4iutCcLMaC
37lTKHi901VnwngQ7C8noT,Malachiii,https://api.spotify.com/v1/artists/37lTKHi901VnwngQ7C8noT
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,https://api.spotify.com/v1/artists/6ltzsmQQbmdoHHbLZ4ZN25
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,https://api.spotify.com/v1/artists/699OTQXzgjhIYAHMy9RyPD
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,https://api.spotify.com/v1/artists/3y2cIKLjiOlp1Np37WiUdH
4nVa6XlBFlIkF6msW57PHp,Hanumankind,https://api.spotify.com/v1/artists/4nVa6XlBFlIkF6msW57PHp
6tYCSHLtTI54AQJFOMfU45,Kalmi,https://api.spotify.com/v1/artists/6tYCSHLtTI54AQJFOMfU45
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
6tbjWDEIzxoDsBA1FuhfPW,Madonna,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,https://api.spotify.com/v1/artists/0PCCGZ0wGLizHt2KZ7hhA2
2FXC3k01G6Gw61bmprjgqS,Hozier,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS
2uYWxilOVlUdk4oV9DvwqK,Mitski,https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5
3SozjO3Lat463tQICI9LcE,Tyla,https://api.spotify.com/v1/artists/3SozjO3Lat463tQICI9LcE
22wbnEMDvgVIAGdFeek6ET,Benson Boone,https://api.spotify.com/v1/artists/22wbnEMDvgVIAGdFeek6ET
5L1lO4eRHmJ7a0Q6csE5cT,LISA,https://api.spotify.com/v1/artists/5L1lO4eRHmJ7a0Q6csE5cT
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,https://api.spotify.com/v1/artists/7ltDVBr6mKbRvohxheJ9h1
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx
5p9HO3XC5P3BLxJs5Mtrhm,Djo,https://api.spotify.com/v1/artists/5p9HO3XC5P3BLxJs5Mtrhm
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,https://api.spotify.com/v1/artists/33qOK5uJ8AR2xuQQAhHump
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,https://api.spotify.com/v1/artists/7vk5e3vY1uw9plTHJAMwjN
5ZLrUYtJDZYWQXicVVO8On,Putri Ariani,https://api.spotify.com/v1/artists/5ZLrUYtJDZYWQXicVVO8On
56zJ6PZ3mNPBiBqglW2KxL,Peder Elias,https://api.spotify.com/v1/artists/56zJ6PZ3mNPBiBqglW2KxL
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ
7Ez6lTtSMjMf2YSYpukP1I,Dasha,https://api.spotify.com/v1/artists/7Ez6lTtSMjMf2YSYpukP1I
4q3ewBCX7sLwd24euuV69X,Bad Bunny,https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X
artist_id,artist_name,external_url
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,https://api.spotify.com/v1/artists/1iCnM8foFssWlPRLfAbIwo
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B
39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,https://api.spotify.com/v1/artists/39B7ChWwrWDs7zXlsu3MoP
7zAAwgV5Wqmvpb4GzvlRkP,Jazzy,https://api.spotify.com/v1/artists/7zAAwgV5Wqmvpb4GzvlRkP
0Cs47vvRsPgEfliBU9KDiB,D.O.D,https://api.spotify.com/v1/artists/0Cs47vvRsPgEfliBU9KDiB
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,https://api.spotify.com/v1/artists/7GlBOeep6PqTfFi59PTUUN
3bO19AOone0ubCsfDXDtYt,Myles Smith,https://api.spotify.com/v1/artists/3bO19AOone0ubCsfDXDtYt
2loEsOijJ6XiGzWYFXMIRk,Adam Port,https://api.spotify.com/v1/artists/2loEsOijJ6XiGzWYFXMIRk
6XjgqvaVLUib6lCerbZrYD,Stryv,https://api.spotify.com/v1/artists/6XjgqvaVLUib6lCerbZrYD
26WKgv73kRHD0gEDKD1i8j,Keinemusik,https://api.spotify.com/v1/artists/26WKgv73kRHD0gEDKD1i8j
2yyaNPcdxZcn4iutCcLMaC,Orso,https://api.spotify.com/v1/artists/2yyaNPcdxZcn4iutCcLMaC
37lTKHi901VnwngQ7C8noT,Malachiii,https://api.spotify.com/v1/artists/37lTKHi901VnwngQ7C8noT
6kbR2eL4hecj3rFwGOsYsI,BL3SS,https://api.spotify.com/v1/artists/6kbR2eL4hecj3rFwGOsYsI
